id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
1,pound,1,1,40,35,100,0,10,2,1,,5,1,5
2,karate-chop,1,2,50,25,100,0,10,2,44,,5,2,5
3,double-slap,1,1,15,10,85,0,10,2,30,,5,10,7
4,comet-punch,1,1,18,15,85,0,10,2,30,,5,12,7
5,mega-punch,1,1,80,20,85,0,10,2,1,,5,1,18
6,pay-day,1,1,40,20,100,0,10,2,35,,4,11,23
7,fire-punch,1,10,75,15,100,0,10,2,5,10,2,1,17
8,ice-punch,1,15,75,15,100,0,10,2,6,10,2,1,17
9,thunder-punch,1,13,75,15,100,0,10,2,7,10,1,1,17
10,scratch,1,1,40,35,100,0,10,2,1,,5,1,5
11,vice-grip,1,1,55,30,100,0,10,2,1,,5,1,5
12,guillotine,1,1,,5,30,0,10,2,39,,1,14,9
13,razor-wind,1,1,80,10,100,0,11,3,40,,1,2,6
14,swords-dance,1,1,,20,,0,7,1,51,,2,32,11
15,cut,1,1,50,30,95,0,10,2,1,,1,14,5
16,gust,1,3,40,35,100,0,10,3,150,,4,21,5
17,wing-attack,1,3,60,35,100,0,10,2,1,,1,12,5
18,whirlwind,1,1,,20,,-6,10,1,29,,4,21,9
19,fly,1,3,90,15,95,0,10,2,156,,4,15,6
20,bind,1,1,15,20,85,0,10,2,43,100,5,24,21
21,slam,1,1,80,20,75,0,10,2,1,,5,23,5
22,vine-whip,1,12,45,25,100,0,10,2,1,,1,1,5
23,stomp,1,1,65,20,100,0,10,2,151,30,5,4,5
24,double-kick,1,2,30,30,100,0,10,2,45,,1,12,7
25,mega-kick,1,1,120,5,75,0,10,2,1,,1,1,18
26,jump-kick,1,2,100,10,95,0,10,2,46,,1,3,5
27,rolling-kick,1,2,60,15,85,0,10,2,32,30,1,5,5
28,sand-attack,1,5,,15,100,0,10,1,24,,3,10,19
29,headbutt,1,1,70,15,100,0,10,2,32,30,5,9,5
30,horn-attack,1,1,65,25,100,0,10,2,1,,1,1,5
31,fury-attack,1,1,15,20,85,0,10,2,30,,1,10,7
32,horn-drill,1,1,,5,30,0,10,2,39,,1,14,9
33,tackle,1,1,40,35,100,0,10,2,1,,5,1,5
34,body-slam,1,1,85,15,100,0,10,2,7,30,5,4,5
35,wrap,1,1,15,20,90,0,10,2,43,100,5,24,21
36,take-down,1,1,90,20,85,0,10,2,49,,5,3,5
37,thrash,1,1,120,10,100,0,8,2,28,,5,6,7
38,double-edge,1,1,120,15,100,0,10,2,199,,5,3,9
39,tail-whip,1,1,,30,100,0,11,1,20,,3,28,19
40,poison-sting,1,4,15,35,100,0,10,2,3,30,4,9,19
41,twineedle,1,7,25,20,100,0,10,2,78,20,1,9,7
42,pin-missile,1,7,25,20,95,0,10,2,30,,1,10,7
43,leer,1,1,,30,100,0,11,1,20,100,1,24,19
44,bite,1,17,60,25,100,0,10,2,32,30,5,5,5
45,growl,1,1,,40,100,0,11,1,19,,3,28,19
46,roar,1,1,,20,,-6,10,1,29,,1,21,19
47,sing,1,1,,15,55,0,10,1,2,,3,18,19
48,supersonic,1,1,,20,55,0,10,1,50,,4,21,19
49,sonic-boom,1,1,,20,90,0,10,3,131,,1,12,5
50,disable,1,1,,20,100,0,10,1,87,,4,18,19
51,acid,1,4,40,30,100,0,11,3,73,10,4,4,5
52,ember,1,10,40,25,100,0,10,3,5,10,2,1,5
53,flamethrower,1,10,90,15,100,0,10,3,5,10,2,1,17
54,mist,1,15,,30,,0,4,1,47,,2,15,13
55,water-gun,1,11,40,25,100,0,10,3,1,,3,1,5
56,hydro-pump,1,11,110,5,80,0,10,3,1,,2,1,17
57,surf,1,11,90,15,100,0,9,3,258,,2,2,17
58,ice-beam,1,15,90,10,100,0,10,3,6,10,2,23,17
59,blizzard,1,15,110,5,70,0,11,3,261,10,2,1,17
60,psybeam,1,14,65,20,100,0,10,3,77,10,2,21,17
61,bubble-beam,1,11,65,20,100,0,10,3,71,10,2,5,2
62,aurora-beam,1,15,65,20,100,0,10,3,69,10,2,23,17
